product_category,orders,customers,gmv,aov,avg_review_score
health_beauty,8647,8498,1412089.5300000056,163.3039817277675,4.189729135644899
watches_gifts,5495,5421,1264333.1200000003,230.08791992720663,4.071711092003439
bed_bath_table,9272,9008,1225209.2600000026,132.14077437446102,3.923968239313083
sports_leisure,7530,7341,1118256.9099999983,148.5068937582999,4.165492957746479
computers_accessories,6530,6405,1032723.7699999984,158.15065390505336,3.986461619348055
furniture_decor,6307,6178,880329.9199999993,139.579819248454,3.953774752475248
housewares,5743,5681,758392.2500000006,132.05506703813347,4.107904085257549
cool_stuff,3559,3543,691680.8899999999,194.3469766788423,4.194903767958796
auto,3810,3769,669454.7500000002,175.709908136483,4.116003903391071
garden_tools,3448,3420,567145.6800000032,164.48540603248352,4.084316037735849
toys,3804,3763,547061.0599999998,143.81205573080962,4.208927231807952
baby,2809,2783,466727.64999999857,166.15437878248437,4.0782358905035485
perfumery,3086,3050,443171.63000000344,143.60713869086308,4.219735656353259
telephony,4093,4047,379202.6200000052,92.6466210603482,3.9943233424159854
office_furniture,1254,1245,335211.35999999975,267.3136842105261,3.5133010882708584
stationery,2264,2250,269575.05000000127,119.070251766785,4.245818033455732
pet_shop,1688,1667,250614.20000000013,148.4681279620854,4.216710182767624
computers,177,176,228349.76000000007,1290.1116384180796,4.219387755102041
musical_instruments,611,607,202187.12000000017,330.9118166939446,4.221705426356589
electronics,2517,2507,200723.09000000072,79.74695669447784,4.067158671586716
small_appliances,609,606,198108.46999999983,325.3012643678158,4.225114854517611
Unknown,1392,1386,197695.69000000015,142.0227658045978,3.938688524590164
fashion_bags_accessories,1820,1757,179888.2899999999,98.83971978021972,4.1936708860759495
luggage_accessories,1019,1013,168778.11999999988,165.6311285574091,4.352283317800559
consoles_games,1018,1014,167097.73000000062,164.1431532416509,4.13855421686747
construction_tools_construction,736,732,162382.00999999972,220.62773097826047,4.090010976948409
home_appliances_2,227,222,118208.52000000008,520.7423788546259,4.156521739130435
home_construction,483,483,95022.37000000004,196.73368530020716,3.95777027027027
home_appliances,747,688,93301.77999999994,124.90198125836672,4.222148246782068
furniture_living_room,414,407,85045.07000000005,205.4228743961354,3.934693877551021
agro_industry_and_commerce,177,176,76203.3,430.5271186440678,4.087378640776699
home_confort,392,391,66438.21999999996,169.4852551020407,3.8548009367681497
air_conditioning,246,244,59854.55000000001,243.31117886178865,4.052816901408451
fixed_telephony,212,212,59816.53999999999,282.1534905660377,3.757936507936508
kitchen_dining_laundry_garden_furniture,241,241,57072.969999999994,236.8173029045643,4.033088235294118
audio,348,347,56255.31999999999,161.65321839080457,3.8365921787709496
books_general_interest,496,490,54182.53999999999,109.23899193548384,4.512195121951219
small_appliances_home_oven_and_coffee,72,72,49245.90000000001,683.9708333333334,4.438356164383562
construction_tools_lights,242,242,47447.139999999985,196.062561983471,4.082191780821918
industry_commerce_and_business,232,230,46079.33999999995,198.617844827586,4.125954198473282
construction_tools_safety,159,158,42504.02,267.3208805031446,3.967032967032967
food,441,436,35794.67999999994,81.16707482993183,4.262833675564682
market_place,274,273,33114.38000000001,120.85540145985406,4.072607260726072
costruction_tools_garden,190,187,30283.939999999995,159.38915789473683,4.116379310344827
fashion_shoes,235,234,27814.82999999999,118.36097872340422,4.290513833992095
signaling_and_security,138,137,27792.590000000033,201.39557971014517,4.091836734693878
art,195,195,27485.53,140.95143589743589,4.082051282051282
drinks,287,282,26971.109999999997,93.97599303135888,4.119113573407202
furniture_bedroom,90,86,23379.220000000012,259.7691111111113,4.252427184466019
books_technical,256,255,22901.06999999998,89.45730468749993,4.3893129770992365
food_drink,221,219,19337.76999999999,87.50122171945696,4.366171003717472
costruction_tools_tools,97,97,17934.169999999995,184.88835051546383,4.444444444444445
fashion_male_clothing,106,104,12514.950000000004,118.06556603773588,3.758064516129033
christmas_supplies,125,125,11928.750000000004,95.43000000000004,4.06993006993007
fashion_underwear_beach,117,117,11160.02,95.38478632478632,4.0476190476190474
tablets_printing_image,79,79,8754.609999999997,110.81784810126578,4.1234567901234565
cine_photo,63,63,7902.18,125.43142857142858,4.285714285714286
dvds_blu_ray,56,55,5769.84,103.03285714285714,4.180327868852459
books_imported,50,49,5150.940000000002,103.01880000000004,4.508771929824562
