rfm_segment,customers,avg_recency_days,avg_frequency,avg_monetary,total_gmv
Loyal Customers,40531,142.714194073672,1.0218104660630134,127.98590362932086,5187396.660000004
At Risk,14775,392.5215566835872,1.0726903553299492,306.8392229592524,4533242.679999995
Champions,10822,69.61236370356681,1.107373868046572,310.4983284050998,3360212.90999999
Dormant,20248,396.4513532200711,1.0,72.7616860924528,1473278.6199999845
One-time / Mid Value,5827,308.65471082889997,1.0,122.21090097820492,712122.92
Potential Loyalists,1155,6.471861471861472,1.0,135.24500432900427,156207.97999999992
