seller_id,seller_state,delivered_orders,gmv,avg_delivery_delay_days,avg_review_score,late_delivery_rate,severe_delay_rate,poor_review_rate,sla_risk_score
7c67e1448b00f6e969d365cea6b010ab,SP,973,237806.69,-11.383350462487153,3.4958634953464323,0.0914696813977389,0.0452209660842754,0.2528263103802672,92629.73844809868
4a3ca9315b744ce9f8e9374361493884,SP,1772,231220.4299999999,-9.525395033860043,3.853108956075299,0.0970654627539503,0.051354401805869,0.1822799097065462,76464.54400677199
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,247007.05999999997,-11.102313167259789,4.150537634408602,0.1049822064056939,0.0480427046263345,0.1298932384341637,69882.7803202847
fa1c13f2614d7b5c4749cbc52fecda94,SP,578,200833.50000000003,-10.314878892733564,4.372822299651568,0.0916955017301038,0.0484429065743944,0.0951557093425605,47254.941176470595
1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,171924.96000000008,-10.9,4.008869179600887,0.0791208791208791,0.0197802197802197,0.1659340659340659,45531.775120879145
7d13fca15225358621be4086e1eb0964,SP,558,120934.47,-10.879928315412188,4.0414414414414415,0.1146953405017921,0.064516129032258,0.1702508960573476,42262.045967741935
da8622b14eb17ae2831f4ac5b9dab84a,SP,1311,184706.77999999997,-10.984744469870328,4.178544061302682,0.0663615560640732,0.0274599542334096,0.1174675819984744,39026.52788710907
1f50f920176fa81dab994f9023523100,SP,1399,141712.93999999997,-10.366690493209436,4.140602582496413,0.0886347390993566,0.0357398141529664,0.139385275196569,37378.180743388126
53243585a1d6dc2643021fd1853d8905,BA,348,230797.02,-11.479885057471265,4.19364161849711,0.0344827586206896,0.014367816091954,0.1034482758620689,35150.120862068965
6560211a19b47992c3666cc44a7e94c0,SP,1819,148050.94,-11.490379329301817,3.979501385041551,0.0527762506871907,0.0142935678944474,0.1594282572842221,33533.253040131945
5dceca129747e92ff8ef7a997dc4f8ca,SP,322,124702.92,-11.254658385093167,4.012578616352202,0.0559006211180124,0.0217391304347826,0.1894409937888198,33305.74881987578
712e6ed8aa4aa1fa65dab41fed5737e4,SC,77,46149.82,-9.116883116883116,3.3947368421052633,0.2077922077922078,0.1428571428571428,0.3506493506493506,32364.80883116883
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,722,126278.18,-13.710526315789474,4.305865921787709,0.0872576177285318,0.0457063711911357,0.1108033240997229,30782.49263157895
955fee9216a65b617aa5c0531780ce60,SP,1261,156606.48,-10.222839016653449,4.201117318435754,0.0610626486915146,0.021411578112609,0.1015067406819984,28812.61170499604
7a67c85e85bb2ce8582c35f2203ad736,SP,1145,160278.52,-11.8235807860262,4.274846086191733,0.0524017467248908,0.0183406113537117,0.0978165938864628,27016.379353711785
2eb70248d66e0e3ef83659f71b244378,SP,187,42046.73000000001,-10.053475935828876,2.7907608695652173,0.1122994652406417,0.0427807486631016,0.46524064171123,26082.463529411772
7e93a43ef30c4f03f38b393420bc753a,SP,319,171973.55000000002,-12.20689655172414,4.364779874213837,0.0470219435736677,0.018808777429467,0.0815047021943573,25337.79576802508
46dc3b2cc0980fb8ec44634e21d2718e,RJ,503,134162.88000000003,-12.113320079522865,4.27364185110664,0.0576540755467196,0.0198807157057654,0.1093439363817097,25072.188310139172
cc419e0650a3c5ba77189a1882b7556a,SP,1651,125936.99,-12.993337371290128,4.151993523578223,0.052695336159903,0.0187764990914597,0.1271956390066626,25019.583718958205
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,72387.94,-9.05045871559633,4.220183486238532,0.1376146788990825,0.0596330275229357,0.1055045871559633,21915.61486238532
a1043bafd471dff536d0c462352beb48,MG,702,130412.74,-12.433048433048434,4.275714285714286,0.0498575498575498,0.0199430199430199,0.094017094017094,21363.9103988604
3d871de0142ce09b7081e2b9d1733cb1,SP,1064,115515.64999999998,-13.088345864661656,4.1918328584995255,0.0545112781954887,0.025375939849624,0.1033834586466165,21170.63134398496
06a2c3af7b3aee5d69171b0e14f0ee87,MA,389,48169.49999999999,-11.367609254498715,4.012987012987013,0.1902313624678663,0.0745501285347043,0.1593830334190231,20431.79305912596
88460e8ebdecbfecb5f9601833981930,PR,246,36258.59000000001,-11.182926829268292,3.442857142857143,0.1707317073170731,0.089430894308943,0.3008130081300813,20340.18463414635
cca3071e3e9bb7d12640c9fbe2301306,SP,699,77188.55,-14.852646638054363,3.8844476744186047,0.0486409155937052,0.0257510729613733,0.1859799713876967,20097.734048640916
8160255418d5aaa7dbdc9f4c64ebda44,SP,380,54095.68000000001,-8.142105263157895,3.9547872340425534,0.1368421052631579,0.0605263157894736,0.1684210526315789,19787.630315789476
522620dcb18a6b31cd7bdf73665113a9,PR,172,61273.66,-13.75,3.905325443786982,0.0872093023255814,0.0465116279069767,0.1860465116279069,19593.32151162791
04308b1ee57b6625f47df1d56f00eedf,SC,92,61940.62,-11.576086956521738,3.945652173913043,0.0760869565217391,0.0326086956521739,0.1956521739130435,18851.493043478265
25c5c91f63607446a97b143d2d535d31,MG,156,61154.7,-11.852564102564102,3.832258064516129,0.0705128205128205,0.0256410256410256,0.1923076923076923,17640.778846153844
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,184,78101.34,-16.91304347826087,4.3224043715847,0.0652173913043478,0.0489130434782608,0.108695652173913,17403.015978260868
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,325,62202.75,-10.083076923076923,4.029503105590062,0.083076923076923,0.043076923076923,0.1476923076923077,17033.983846153846
1835b56ce799e6a4dc4eddc053f04066,SP,417,41628.279999999984,-10.33093525179856,3.6630434782608696,0.1031175059952038,0.0503597122302158,0.237410071942446,16271.965563549154
8581055ce74af1daba164fdbd55a40de,SP,380,73473.98,-8.96042216358839,4.308707124010554,0.081578947368421,0.0421052631578947,0.0947368421052631,16048.26405263158
fe2032dab1a61af8794248c8196565c9,SP,293,70400.59999999999,-10.9419795221843,4.387543252595155,0.0887372013651877,0.0409556313993174,0.0955631399317406,15858.155631399315
218d46b86c1881d022bce9c68a7d4b15,SP,382,61162.939999999995,-11.50261780104712,4.185526315789474,0.0863874345549738,0.0523560209424083,0.1204188481675392,15851.128429319371
4e922959ae960d389249c378d1c939f5,SP,412,52485.600000000006,-12.849514563106796,3.963235294117647,0.0898058252427184,0.0315533980582524,0.1796116504854369,15796.636893203884
77530e9772f57a62c906e1c21538ab82,PR,312,53951.31,-10.948717948717947,4.147435897435898,0.0929487179487179,0.0448717948717948,0.1474358974358974,15389.957019230767
855668e0971d4dfd7bef1b6a4133b41b,SP,300,38408.56,-9.03,3.85472972972973,0.1266666666666666,0.0666666666666666,0.2033333333333333,15235.395466666669
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,165,83031.14,-13.503030303030304,4.442424242424242,0.0727272727272727,0.0363636363636363,0.0727272727272727,15096.57090909091
ea8482cd71df3c1969d7b9473ff13abc,SP,1132,53988.63000000005,-9.96113074204947,4.0266429840142095,0.0848056537102473,0.0300353356890459,0.1448763250883392,14021.781996466443
17e34d8224d27a541263c4c64b11a56b,SP,247,59530.490000000005,-10.566801619433198,4.253061224489796,0.0769230769230769,0.0364372469635627,0.1093117408906882,13255.777125506074
391fc6631aebcf3004804e51b40bcf1e,SP,521,49559.140000000014,-11.406909788867562,4.047297297297297,0.0863723608445297,0.0345489443378119,0.145873320537428,13222.112207293669
634964b17796e64304cadf1ad3050fb7,RJ,265,45014.100000000006,-10.362264150943396,4.056603773584905,0.0943396226415094,0.0415094339622641,0.1509433962264151,12909.704150943398
c3867b4666c7d76867627c2f7fb22e21,SP,228,39360.2,-9.758771929824562,4.079646017699115,0.1096491228070175,0.0614035087719298,0.1535087719298245,12774.801754385964
b33e7c55446eabf8fe1a42d037ac7d6d,SP,149,46871.55,-11.51006711409396,4.201342281879195,0.1140939597315436,0.0268456375838926,0.1275167785234899,12582.96644295302
c826c40d7b19f62a09e2d7c5e7295ee2,SP,346,50096.67,-9.852601156069364,4.130434782608695,0.0751445086705202,0.0289017341040462,0.1416184971098266,12306.985404624278
54965bbe3e4f07ae045b90b0b8541f52,PR,73,12427.960000000005,-3.5753424657534247,3.1449275362318843,0.3013698630136986,0.273972602739726,0.3835616438356164,11917.22191780822
70a12e78e608ac31179aea7f8422044b,SP,312,35487.24999999999,-10.426282051282053,3.812903225806452,0.0929487179487179,0.0448717948717948,0.1955128205128205,11829.083333333332
59b22a78efb79a4797979612b885db36,MG,125,32082.07,-10.08,3.983870967741935,0.112,0.056,0.2,11806.20176
f5a590cf36251cf1162ea35bef76fe84,SP,113,55366.96000000001,-11.053097345132745,4.274336283185841,0.0707964601769911,0.0353982300884955,0.1061946902654867,11759.354336283188
1ca7077d890b907f89be8c954a02686a,SP,108,13996.65,-6.666666666666667,2.392523364485981,0.1666666666666666,0.0555555555555555,0.5925925925925926,11404.677777777775
17f51e7198701186712e53a39c564617,SP,56,57812.42999999999,-11.821428571428571,4.339285714285714,0.0892857142857142,0.0178571428571428,0.0892857142857142,11356.013035714286
b2ba3715d723d245138f291a6fe42594,SP,324,55596.65,-9.842592592592592,4.202492211838006,0.0679012345679012,0.015432098765432,0.1172839506172839,11153.648919753086
7142540dd4c91e2237acb7e911c4eba2,SP,316,44025.67999999999,-13.44620253164557,4.054140127388535,0.0727848101265822,0.0379746835443038,0.1360759493670886,10867.0982278481
ceaec5548eefc6e23e6607c5435102e7,SP,198,57653.73000000001,-15.141414141414142,4.2,0.0505050505050505,0.0252525252525252,0.1111111111111111,10773.67681818182
897060da8b9a21f655304d50fd935913,SP,304,28258.33,-9.769736842105264,3.712624584717608,0.1052631578947368,0.0427631578947368,0.2302631578947368,10689.828782894738
e9779976487b77c6d4ac45f75ec7afe9,SP,645,52211.3,-10.0031007751938,4.2601246105919,0.0604651162790697,0.027906976744186,0.1054263565891472,10118.468992248065
d1c281d3ae149232351cd8c8cc885f0d,SP,214,32213.68,-11.457943925233645,3.806603773584906,0.0654205607476635,0.02803738317757,0.2149532710280373,9935.060186915887
710e3548e02bc1d2831dfc4f1b5b14d4,PR,131,26111.91,-21.786259541984737,3.4307692307692306,0.0381679389312977,0.0305343511450381,0.3053435114503817,9767.050305343511
1900267e848ceeba8fa32d80c1a5f5a8,SP,406,32679.54,-10.12807881773399,3.8659147869674184,0.0812807881773399,0.0320197044334975,0.1847290640394088,9739.46881773399
8444e55c1f13cd5c179851e5ca5ebd00,MG,92,23445.67000000001,-22.554347826086957,3.369565217391304,0.0652173913043478,0.0217391304347826,0.3260869565217391,9684.081086956525
f8db351d8c4c4c22c6835c19a46f01b0,SP,659,62487.02000000001,-11.93019726858877,4.265243902439025,0.0424886191198786,0.0136570561456752,0.0955993930197268,9482.097116843704
e9bc59e7b60fc3063eb2290deda4cced,PR,209,38082.42,-14.44976076555024,4.076555023923445,0.0765550239234449,0.0287081339712918,0.1435406698564593,9475.051866028709
7ad32824caee82087b3e2e5f33b1bf32,SP,147,25495.800000000003,-10.06122448979592,3.861111111111111,0.1292517006802721,0.0476190476190476,0.1904761904761904,9365.804081632654
4d6d651bd7684af3fffabd5f08d12e5a,SP,363,50785.76000000001,-13.00275482093664,4.223756906077348,0.0385674931129476,0.024793388429752,0.1184573002754821,9233.774545454547
de722cd6dad950a92b7d4f82673f8833,PE,337,64776.59000000001,-15.504451038575668,4.303571428571429,0.0356083086053412,0.0148367952522255,0.0919881305637982,9226.33922848665
76d5af76d0271110f9af36c92573f765,SP,128,35731.66,-12.3359375,4.133858267716535,0.09375,0.0234375,0.140625,9212.06859375
0b35c634521043bf4b47e21547b99ab5,PR,50,14690.79,-12.66,3.4081632653061225,0.16,0.12,0.34,9108.2898
17a053fcb14bd219540cbde0df490be0,SP,124,49114.41,-10.096774193548388,4.254098360655738,0.0564516129032258,0.0241935483870967,0.0967741935483871,8713.84693548387
d91fb3b7d041e83b64a00a3edfb37e4f,SP,524,48984.45,-12.6793893129771,4.139102564102563,0.0381679389312977,0.0057251908396946,0.1335877862595419,8693.805057251908
dc4a0fc896dc34b0d5bfec8438291c80,SP,225,28148.060000000005,-11.422222222222222,3.8177777777777777,0.0666666666666666,0.0311111111111111,0.2044444444444444,8506.969244444446
2528513dd95219a6013d4d05176e391a,SP,160,36400.97,-12.3,3.968152866242038,0.0375,0.025,0.16875,8417.7243125
9c0e69c7bf2619675bbadf47b43f655a,SP,151,35543.82,-8.23841059602649,4.173333333333333,0.086092715231788,0.0397350993377483,0.1059602649006622,8238.633774834438
7681ef142fd2c19048da7430856b5588,SP,58,34074.670000000006,-9.379310344827584,4.228070175438597,0.0862068965517241,0.0344827586206896,0.1206896551724138,8224.920344827588
