delivery_delay_bucket,orders,avg_review_score,gmv
Delayed 8+ days,2862,1.697903014416776,523322.540000001
Delayed 4-7 days,1802,2.0898095728255277,332614.30000000057
Delayed 1-3 days,1870,3.2308429118773945,294955.2900000002
On time / Early,89936,4.208377738017254,14267502.699999068
Unknown,8,4.5,1378.9199999999998
